,winner,num-of-moves,x-mean-decision-time,x-classic-bombs,x-vertical-bombs,x-horizontal-bombs,o-mean-decision-time,o-classic-bombs,o-vertical-bombs,o-horizontal-bombs
0,X,17,0.0865412779411765,0,0,2,0.07351869549999994,0,0,0
1,O,18,0.0924943092941177,0,0,0,0.09334448999999999,0,0,1
2,X,16,0.09547692806249974,0,0,2,0.08304771520000015,0,0,0
3,X,16,0.09952984068750015,0,0,1,0.08653898493333341,0,0,0
4,O,17,0.10263343843750028,0,0,0,0.10285904987500016,0,0,1
5,O,18,0.09681977347058879,0,0,0,0.09675561958823518,1,0,0
6,X,17,0.0944961707647059,0,1,1,0.08851949881250021,0,0,0
7,X,17,0.08461312747058823,0,0,2,0.07341447812500057,0,0,0
8,O,18,0.09186131652941168,0,0,0,0.09380115635294155,1,0,0
9,X,18,0.08364012955555565,0,0,1,0.07037443864705917,0,0,0
10,O,17,0.09849168393750007,0,0,1,0.10031757743749958,0,1,0
11,O,17,0.10705354556250013,1,0,0,0.10608566743750014,0,1,0
12,X,18,0.08617859050000003,0,1,1,0.07207069894117733,0,0,0
13,O,19,0.11944680538888895,0,0,0,0.1752574296666683,0,2,0
14,X,17,0.08897358829411631,0,1,1,0.07716309437500035,0,0,0
15,O,19,0.10566585499999961,0,0,0,0.11215296327777777,0,2,0
16,X,18,0.09091130777777796,0,1,1,0.08157339794117663,0,0,0
17,O,17,0.10744122868750017,0,1,0,0.10577392481250003,0,1,0
18,X,17,0.08534490188235236,1,0,1,0.07335560774999994,0,0,0
19,O,17,0.09831335818750109,0,1,0,0.09926313137500031,0,1,0
20,O,17,0.0985707853749993,0,0,0,0.09936646318750153,1,0,0
21,X,18,0.08419626577777548,0,0,1,0.06881120241176324,0,0,0
22,X,16,0.0943958433124985,1,0,1,0.07961969506666833,0,0,0
23,O,17,0.10346176318749833,0,1,0,0.10051442393750065,0,1,0
24,O,12,0.2408582661818147,0,0,0,0.21602409109091136,0,0,0
25,O,18,0.10633133429411815,0,0,1,0.10843612958823749,0,1,0
26,O,18,0.10739768417647025,1,0,0,0.11117658541176505,1,0,0
27,O,19,0.11647546749999943,0,0,0,0.10264909766666837,0,1,1
28,X,17,0.12063557111764733,1,0,1,0.10461412368749912,0,0,0
29,O,17,0.12045877368749824,0,0,0,0.12463206868749577,1,0,0
30,X,16,0.1069841238749989,0,1,1,0.09866364466667031,0,0,0
31,X,18,0.10107729255555459,0,0,1,0.08019838017647002,0,0,0
32,X,16,0.10423259525000095,1,0,1,0.08912586113333323,0,0,0
33,X,17,0.10278871923529292,0,1,1,0.08928041068750314,0,0,0
34,O,18,0.1397927319411774,0,0,0,0.12715564276470476,0,0,1
35,O,18,0.103361670235294,0,0,0,0.10680029841176891,1,0,0
36,X,17,0.09355158252941213,1,0,1,0.08086585850000017,0,0,0
37,X,17,0.10959171611764455,0,0,1,0.08168790831250039,0,0,0
38,X,16,0.10381582287499835,0,0,2,0.09227189933333667,0,0,0
39,O,18,0.11094020064706121,1,0,0,0.11091568223529394,0,1,0
40,X,17,0.09724343947058856,0,1,1,0.08579873374999636,0,0,0
41,X,17,0.09312612588235973,0,0,1,0.08004669825000477,0,0,0
